Query Rank Precision Recall
1 1 0.0 0.0
1 2 0.0 0.0
1 3 0.0 0.0
1 4 0.0 0.0
1 5 0.0 0.0
1 6 0.0 0.0
1 7 0.0 0.0
1 8 0.0 0.0
1 9 0.0 0.0
1 10 0.0 0.0
1 11 0.0 0.0
1 12 0.0 0.0
1 13 0.0 0.0
1 14 0.0 0.0
1 15 0.0 0.0
1 16 0.0 0.0
1 17 0.0 0.0
1 18 0.0 0.0
1 19 0.0 0.0
1 20 0.0 0.0
1 21 0.0 0.0
1 22 0.0 0.0
1 23 0.0 0.0
1 24 0.0 0.0
1 25 0.0 0.0
1 26 0.0 0.0
1 27 0.037037037037 0.2
1 28 0.0714285714286 0.4
1 29 0.0689655172414 0.4
1 30 0.0666666666667 0.4
1 31 0.0967741935484 0.6
1 32 0.09375 0.6
1 33 0.0909090909091 0.6
1 34 0.0882352941176 0.6
1 35 0.0857142857143 0.6
1 36 0.0833333333333 0.6
1 37 0.0810810810811 0.6
1 38 0.0789473684211 0.6
1 39 0.0769230769231 0.6
1 40 0.075 0.6
1 41 0.0731707317073 0.6
1 42 0.0714285714286 0.6
1 43 0.0697674418605 0.6
1 44 0.0681818181818 0.6
1 45 0.0666666666667 0.6
1 46 0.0652173913043 0.6
1 47 0.063829787234 0.6
1 48 0.0625 0.6
1 49 0.0612244897959 0.6
1 50 0.06 0.6
1 51 0.0588235294118 0.6
1 52 0.0576923076923 0.6
1 53 0.0566037735849 0.6
1 54 0.0555555555556 0.6
1 55 0.0545454545455 0.6
1 56 0.0535714285714 0.6
1 57 0.0526315789474 0.6
1 58 0.051724137931 0.6
1 59 0.0508474576271 0.6
1 60 0.05 0.6
1 61 0.0491803278689 0.6
1 62 0.0483870967742 0.6
1 63 0.047619047619 0.6
1 64 0.046875 0.6
1 65 0.0461538461538 0.6
1 66 0.0454545454545 0.6
1 67 0.044776119403 0.6
1 68 0.0441176470588 0.6
1 69 0.0434782608696 0.6
1 70 0.0428571428571 0.6
1 71 0.0422535211268 0.6
1 72 0.0416666666667 0.6
1 73 0.041095890411 0.6
1 74 0.0405405405405 0.6
1 75 0.04 0.6
1 76 0.0394736842105 0.6
1 77 0.038961038961 0.6
1 78 0.0384615384615 0.6
1 79 0.0379746835443 0.6
1 80 0.0375 0.6
1 81 0.037037037037 0.6
1 82 0.0365853658537 0.6
1 83 0.0361445783133 0.6
1 84 0.0357142857143 0.6
1 85 0.0352941176471 0.6
1 86 0.0348837209302 0.6
1 87 0.0344827586207 0.6
1 88 0.0340909090909 0.6
1 89 0.0337078651685 0.6
1 90 0.0333333333333 0.6
1 91 0.032967032967 0.6
1 92 0.0326086956522 0.6
1 93 0.0322580645161 0.6
1 94 0.031914893617 0.6
1 95 0.0315789473684 0.6
1 96 0.03125 0.6
1 97 0.0309278350515 0.6
1 98 0.030612244898 0.6
1 99 0.030303030303 0.6
1 100 0.03 0.6
2 1 1.0 0.333333333333
2 2 0.5 0.333333333333
2 3 0.666666666667 0.666666666667
2 4 0.5 0.666666666667
2 5 0.6 1.0
2 6 0.5 1.0
2 7 0.428571428571 1.0
2 8 0.375 1.0
2 9 0.333333333333 1.0
2 10 0.3 1.0
2 11 0.272727272727 1.0
2 12 0.25 1.0
2 13 0.230769230769 1.0
2 14 0.214285714286 1.0
2 15 0.2 1.0
2 16 0.1875 1.0
2 17 0.176470588235 1.0
2 18 0.166666666667 1.0
2 19 0.157894736842 1.0
2 20 0.15 1.0
2 21 0.142857142857 1.0
2 22 0.136363636364 1.0
2 23 0.130434782609 1.0
2 24 0.125 1.0
2 25 0.12 1.0
2 26 0.115384615385 1.0
2 27 0.111111111111 1.0
2 28 0.107142857143 1.0
